Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,-9999,age_exact,position,starts,minutes,squad
Victor Lindelöf,DFMF,se Sweden,31,1.eng Aston Villa,1994,4,4,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f5deef4c,31.0,DF,4,356,Sweden
Erik Lira,MF,mx Mexico,26,1.mx Cruz Azul,2000,4,4,345,3.8,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,7b2c24ed,26.0,MF,4,345,Mexico
Dominik Livaković,GK,hr Croatia,31,1.hr Dinamo Zagreb,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,58f077c0,31.0,GK,4,360,Croatia
Dailon Livramento,FW,cv Cabo Verde,25,1.pt Casa Pia,2001,3,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c115db1e,25.0,FW,2,174,Cabo Verde
Marcos Llorente,DF,es Spain,31,1.es Atlético Madrid,1995,3,2,187,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,02c15616,31.0,DF,2,187,Spain
Giovani Lo Celso,MF,ar Argentina,30,1.es Real Betis,1996,1,1,59,0.7,1,0,1,1,0,0,0,0,1.53,0.0,1.53,1.53,1.53,d7553721,30.0,MF,1,59,Argentina
Jürgen Locadia,FW,cw Curaçao,32,2.us Miami FC,1993,3,3,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6cc47ae1,32.0,FW,3,235,Curaçao
Sidny Lopes Cabral,DF,cv Cabo Verde,23,1.pt Benfica,2002,3,3,285,3.2,1,0,1,1,0,0,2,0,0.32,0.0,0.32,0.32,0.32,20700569,23.0,DF,3,285,Cabo Verde
Derrick Luckassen,DF,gh Ghana,30,1.cy Pafos FC,1995,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5,30a09cb5,30.0,DF,2,180,Ghana
Jhon Lucumí,DF,co Colombia,27,1.it Bologna,1998,5,5,478,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,80490d7f,27.0,DF,5,478,Colombia
José Luis Rodríguez,MFFW,pa Panama,27,1.mx FC Juárez,1998,3,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b333b014,27.0,MF,3,233,Panama
Romelu Lukaku,FW,be Belgium,33,1.it Napoli,1993,6,1,233,2.6,3,1,4,3,0,0,1,0,1.16,0.39,1.55,1.16,1.55,5eae500a,33.0,FW,1,233,Belgium
Dodi Lukebakio,MF,be Belgium,28,1.pt Benfica,1997,3,1,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0c61c77c,28.0,MF,1,164,Belgium
Jovo Lukić,FW,ba Bosnia–Herz,27,1.ro Univ. Cluj,1998,2,1,67,0.7,1,0,1,1,0,0,1,0,1.34,0.0,1.34,1.34,1.34,a2056e82,27.0,FW,1,67,Bosnia–Herz
Alexis Mac Allister,MF,ar Argentina,27,1.eng Liverpool,1998,8,7,750,8.3,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,83d074ff,27.0,MF,7,750,Argentina
Deiver Machado,DF,co Colombia,32,1.fr Nantes,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b3f8bdef,32.0,DF,1,90,Colombia
Assim Madibo,MF,qa Qatar,29,1.qa Al-Wakrah,1996,2,2,131,1.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2b1d2ada,29.0,MF,2,131,Qatar
Noni Madueke,MF,eng England,24,1.eng Arsenal,2002,5,4,286,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bf34eebd,24.0,MF,4,286,England
Daizen Maeda,MF,jp Japan,28,1.sct Celtic,1997,3,3,244,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37,395451fc,28.0,MF,3,244,Japan
Gabriel Magalhães,DF,br Brazil,28,1.eng Arsenal,1997,5,5,450,5.0,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,67ac5bb8,28.0,DF,5,450,Brazil
Riyad Mahrez,MF,dz Algeria,35,1.sa Al-Ahli,1991,4,3,262,2.9,2,1,3,2,0,0,0,0,0.69,0.34,1.03,0.69,1.03,892d5bb1,35.0,MF,3,262,Algeria
Alexandro Maidana,DF,py Paraguay,20,1.ar Talleres–C,2005,2,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4d0d5020,20.0,DF,1,55,Paraguay
Mike Maignan,GK,fr France,30,1.it Milan,1995,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fcb38f57,30.0,GK,8,720,France
Evidence Makgopa,FW,za South Africa,26,1.za Orlando Pirates,2000,4,2,215,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4d76d03b,26.0,FW,2,215,South Africa
Donyell Malen,FW,nl Netherlands,27,1.it Roma,1999,3,3,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,116c35df,27.0,FW,3,185,Netherlands
Arjan Malic,DF,ba Bosnia–Herz,20,1.at Sturm Graz,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,de57cd45,20.0,DF,1,45,Bosnia–Herz
Aïssa Mandi,DF,dz Algeria,34,1.fr Lille,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fbd6378b,34.0,DF,4,360,Algeria
Sadio Mané,MFFW,sn Senegal,34,1.sa Al-Nassr,1992,4,4,362,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,c691bfe2,34.0,MF,4,362,Senegal
Juan Manuel Sanabria,DF,uy Uruguay,26,1.mx Atlético San Luis,2000,3,2,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,f1d74479,26.0,DF,2,204,Uruguay
Johan Manzambi,MFFW,ch Switzerland,20,1.de Freiburg,2005,4,2,199,2.2,3,2,5,3,0,0,0,0,1.36,0.9,2.26,1.36,2.26,8fcf0e12,20.0,MF,2,199,Switzerland
Mahmoud Al-Mardi,MF,jo Jordan,32,1.jo Al-Hussein SC,1993,3,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1eedc1ea,32.0,MF,1,130,Jordan
Omar Marmoush,FWMF,eg Egypt,27,1.eng Manchester City,1999,5,3,326,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0e0102eb,27.0,FW,3,326,Egypt
Marquinhos,DF,br Brazil,32,1.fr PSG,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d5f2f82b,32.0,DF,5,450,Brazil
Gabriel Martinelli,MF,br Brazil,24,1.eng Arsenal,2001,4,1,143,1.6,1,0,1,1,0,0,0,0,0.63,0.0,0.63,0.63,0.63,48a5a5d6,24.0,MF,1,143,Brazil
Guillermo Martínez Ayala,FW,mx Mexico,31,1.mx UNAM,1995,2,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,59146354,31.0,FW,1,72,Mexico
Cristian Martínez,MFFW,pa Panama,29,1.il Kiryat Shmona,1997,3,3,242,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fdb15495,29.0,MF,3,242,Panama
Emiliano Martínez,GK,ar Argentina,33,1.eng Aston Villa,1992,8,8,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7956236f,33.0,GK,8,810,Argentina
Lautaro Martínez,FW,ar Argentina,28,1.it Inter,1997,7,4,310,3.4,3,1,4,2,1,1,1,0,0.87,0.29,1.16,0.58,0.87,f7036e1c,28.0,FW,4,310,Argentina
Lisandro Martínez,DF,ar Argentina,28,1.eng Manchester Utd,1998,7,7,624,6.9,1,1,2,1,0,0,2,0,0.14,0.14,0.29,0.14,0.29,bac46a10,28.0,DF,7,624,Argentina
Thapelo Maseko,MFFW,za South Africa,22,1.cy AEL Limassol,2003,3,3,242,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37,498d45f7,22.0,MF,3,242,South Africa
Hazem Mastouri,FW,tn Tunisia,28,1.ru D. Makhachkala,1997,1,1,89,1.0,1,0,1,1,0,0,0,0,1.01,0.0,1.01,1.01,1.01,c88f913e,28.0,FW,1,89,Tunisia
Arthur Masuaku,DF,cd Congo DR,32,1.fr Lens,1993,4,4,315,3.5,0,1,1,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29,57df7a11,32.0,DF,4,315,Congo DR
Ibrahim Maza,MFFW,dz Algeria,20,1.de Leverkusen,2005,4,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,89b3bc5e,20.0,MF,4,351,Algeria
Noussair Mazraoui,DF,ma Morocco,28,1.eng Manchester Utd,1997,6,5,477,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b74277a0,28.0,DF,5,477,Morocco
Kylian Mbappé,FW,fr France,27,1.es Real Madrid,1998,8,8,695,7.7,10,4,14,9,1,2,1,0,1.29,0.52,1.81,1.17,1.68,42fd9c7f,27.0,FW,8,695,France
Thalente Mbatha,MF,za South Africa,26,1.za Orlando Pirates,2000,4,2,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,f6272be9,26.0,MF,2,260,South Africa
Ibrahim Mbaye,MF,sn Senegal,18,1.fr PSG,2008,4,1,157,1.7,1,0,1,1,0,0,0,0,0.57,0.0,0.57,0.57,0.57,201b4ee4,18.0,MF,1,157,Senegal
Chancel Mbemba,DF,cd Congo DR,31,1.fr Lille,1994,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,e76cb9cc,31.0,DF,4,360,Congo DR
Mbekezeli Mbokazi,DF,za South Africa,20,1.us Chicago Fire,2005,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13398d42,20.0,DF,4,360,South Africa
Nathanaël Mbuku,MFFW,cd Congo DR,24,2.fr Montpellier,2002,3,2,143,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,46750e9c,24.0,MF,2,143,Congo DR
Callum McCowatt,MF,nz New Zealand,27,1.dk Silkeborg,1999,3,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3fc42049,27.0,MF,2,159,New Zealand
John McGinn,MF,sct Scotland,31,1.eng Aston Villa,1994,3,3,259,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,90f91999,31.0,MF,3,259,Scotland
Scott McKenna,DF,sct Scotland,29,1.hr Dinamo Zagreb,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4e5a4cbc,29.0,DF,1,90,Scotland
Weston McKennie,MF,us USA,27,1.it Juventus,1998,5,5,443,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,01c3aff5,27.0,MF,5,443,USA
Mark McKenzie,DF,us USA,27,1.fr Toulouse,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a5f5d094,27.0,DF,1,90,USA
Kenny McLean,MF,sct Scotland,34,2.eng Norwich City,1992,3,1,118,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,471f16b3,34.0,MF,1,118,Scotland
Scott McTominay,MF,sct Scotland,29,1.it Napoli,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d93c2511,29.0,MF,3,270,Scotland
Brandon Mechele,DF,be Belgium,33,1.be Club Brugge,1993,6,6,570,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0a6dbbf7,33.0,DF,6,570,Belgium
Facundo Medina,DF,ar Argentina,27,1.fr Marseille,1999,5,3,308,3.4,0,1,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,6f5ec8bb,27.0,DF,3,308,Argentina
Hannibal Mejbri,MF,tn Tunisia,23,1.eng Burnley,2003,3,3,270,3.0,0,2,2,0,0,0,0,0,0.0,0.67,0.67,0.0,0.67,ca22ccb0,23.0,MF,3,270,Tunisia
Amar Memić,MF,ba Bosnia–Herz,25,1.cz Viktoria Plzeň,2001,4,2,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,918c187c,25.0,MF,2,224,Bosnia–Herz
Sultan Mendash,MF,sa Saudi Arabia,31,1.sa Al-Hilal,1994,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8738a7a1,31.0,MF,1,65,Saudi Arabia
Nuno Mendes,DF,pt Portugal,23,1.fr PSG,2002,5,5,395,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,f20e4cc9,23.0,DF,5,395,Portugal
Ryan Mendes,FWMF,cv Cabo Verde,36,2.tr 76 Iğdır Belediyespor,1990,4,4,330,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27,ba6e01ab,36.0,FW,4,330,Cabo Verde
Édouard Mendy,GK,sn Senegal,34,1.sa Al-Ahli,1992,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33887998,34.0,GK,2,152,Senegal
Gideon Mensah,DF,gh Ghana,27,1.fr Auxerre,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9bdd8118,27.0,DF,4,360,Ghana
Mikel Merino,MF,es Spain,29,1.eng Arsenal,1996,8,1,199,2.2,2,0,2,2,0,0,0,0,0.9,0.0,0.9,0.9,0.9,d080ed5e,29.0,MF,1,199,Spain
Lionel Messi,FW,ar Argentina,38,1.us Inter Miami,1987,8,7,740,8.2,8,4,12,8,0,2,0,0,0.97,0.49,1.46,0.97,1.46,d70ce98e,38.0,FW,7,740,Argentina
Connor Metcalfe,MF,au Australia,26,1.de St Pauli,1999,4,3,315,3.5,1,0,1,1,0,0,0,0,0.29,0.0,0.29,0.29,0.29,73ce4d7d,26.0,MF,3,315,Australia
Thomas Meunier,DF,be Belgium,34,1.fr Lille,1991,3,2,190,2.1,0,1,1,0,0,0,0,0,0.0,0.47,0.47,0.0,0.47,e162b013,34.0,DF,2,190,Belgium
Liam Millar,MF,ca Canada,26,2.eng Hull City,1999,3,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,983515f8,26.0,MF,2,162,Canada
Kim Min-jae,DF,kr Korea Republic,29,1.de Bayern Munich,1996,3,3,245,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e0f8151c,29.0,DF,3,245,Korea Republic
Alan Minda,MF,ec Ecuador,23,1.br Atlético Mineiro,2003,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9cfd5b00,23.0,MF,1,55,Ecuador
Aubrey Modiba,DF,za South Africa,30,1.za Sundowns,1995,4,4,346,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bb1f97f2,30.0,DF,4,346,South Africa
Luka Modrić,MF,hr Croatia,40,1.it Milan,1985,4,4,317,3.5,0,1,1,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28,6025fab1,40.0,MF,4,317,Croatia
Relebohile Mofokeng,MF,za South Africa,21,1.za Orlando Pirates,2004,3,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25c3fb97,21.0,MF,2,169,South Africa
Shahriar Moghanlou,FW,ir IR Iran,31,1.ae Al-Ittihad Kalba,1994,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,92f69be8,31.0,FW,1,88,IR Iran
Milad Mohammadi,DF,ir IR Iran,32,1.ir Persepolis,1993,3,2,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,740a0e28,32.0,DF,2,205,IR Iran
Mohammad Mohebi,MF,ir IR Iran,27,1.ru Rostov,1998,3,3,244,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37,7b6b53c3,27.0,MF,3,244,IR Iran
Johan Mojica,DF,co Colombia,33,1.es Mallorca,1992,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,608f2092,33.0,DF,4,390,Colombia
Teboho Mokoena,MF,za South Africa,29,1.za Sundowns,1997,3,3,270,3.0,1,0,1,0,1,1,2,0,0.33,0.0,0.33,0.0,0.0,00029b1e,29.0,MF,3,270,South Africa
Nahuel Molina,DF,ar Argentina,28,1.es Atlético Madrid,1998,7,5,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23610943,28.0,DF,5,528,Argentina
Jamiro Monteiro,MF,cv Cabo Verde,32,1.nl Zwolle,1993,4,3,281,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d384bddd,32.0,MF,3,281,Cabo Verde
César Montes,DF,mx Mexico,29,1.ru Loko Moscow,1997,4,4,314,3.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,28e957d7,29.0,DF,4,314,Mexico
Gonzalo Montiel,DF,ar Argentina,29,1.ar River Plate,1997,6,2,192,2.1,0,1,1,0,0,0,1,0,0.0,0.47,0.47,0.0,0.47,374d5158,29.0,DF,2,192,Argentina
Kim Moon-hwan,MF,kr Korea Republic,30,1.kr Daejeon Hana,1995,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6bce7dd8,30.0,MF,1,70,Korea Republic
Gilberto Mora,MF,mx Mexico,17,1.mx Tijuana,2008,4,3,213,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,69c9ffe8,17.0,MF,3,213,Mexico
Steven Moreira,DF,cv Cabo Verde,31,1.us Columbus Crew,1994,4,3,301,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f10983ae,31.0,DF,3,301,Cabo Verde
Orlando Mosquera,GK,pa Panama,31,1.sa Al-Fayha,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ea34d827,31.0,GK,3,270,Panama
Samuel Moutoussamy,MF,cd Congo DR,29,1.gr Atromitos,1996,4,4,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,af0c835b,29.0,MF,4,330,Congo DR
Akmal Mozgovoy,MF,uz Uzbekistan,27,1.uz Pakhtakor Tashkent FK,1999,3,2,216,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42,114cb95b,27.0,MF,2,216,Uzbekistan
Lionel Mpasi,GK,cd Congo DR,31,1.fr Le Havre,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5c6b0637,31.0,GK,4,360,Congo DR
Khuliso Mudau,DF,za South Africa,31,1.za Sundowns,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,75388f92,31.0,DF,4,360,South Africa
Tarik Muharemovic,DF,ba Bosnia–Herz,23,1.it Sassuolo,2003,3,3,259,2.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,426dda23,23.0,DF,3,259,Bosnia–Herz
Ngal'Ayel Mukau,MF,cd Congo DR,21,1.fr Lille,2004,4,3,195,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bb461b8a,21.0,MF,3,195,Congo DR
Mert Müldür,DF,tr Türkiye,27,1.tr Fenerbahçe,1999,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1295552e,27.0,DF,1,101,Türkiye
Daniel Muñoz,DF,co Colombia,30,1.eng Crystal Palace,1996,5,4,394,4.4,2,0,2,2,0,0,0,0,0.46,0.0,0.46,0.46,0.46,778ef829,30.0,DF,4,394,Colombia
Petar Musa,FW,hr Croatia,28,1.us FC Dallas,1998,2,2,110,1.2,1,0,1,1,0,0,0,0,0.82,0.0,0.82,0.82,0.82,4567a0b4,28.0,FW,2,110,Croatia
Jamal Musiala,MF,de Germany,23,1.de Bayern Munich,2003,4,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,2c0558b8,23.0,MF,3,270,Germany
Fernando Muslera,GK,uy Uruguay,39,1.tr Galatasaray,1986,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a2abe631,39.0,GK,3,225,Uruguay
Phillipp Mwene,DF,at Austria,32,1.de Mainz 05,1994,2,2,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2ff76adc,32.0,DF,2,147,Austria
David Møller Wolfe,DF,no Norway,24,1.eng Wolves,2002,5,5,430,4.8,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,9affc5f2,24.0,DF,5,430,Norway
Keito Nakamura,MF,jp Japan,25,2.fr Reims,2000,4,4,307,3.4,1,1,2,1,0,0,0,0,0.29,0.29,0.59,0.29,0.59,d97af612,25.0,MF,4,307,Japan
Abdallah Nasib,DF,jo Jordan,32,1.iq Al-Zawra'a SC,1994,3,3,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,aaab3072,32.0,DF,3,260,Jordan
Sherzod Nasrullaev,DFMF,uz Uzbekistan,27,1.uz FC Nasaf,1998,3,3,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,aeb0c7f7,27.0,DF,3,180,Uzbekistan
Iliman Ndiaye,FW,sn Senegal,26,1.eng Everton,2000,3,1,114,1.3,1,2,3,1,0,0,0,0,0.79,1.58,2.37,0.79,2.37,5ed97752,26.0,FW,1,114,Senegal
Dan Ndoye,MFFW,ch Switzerland,25,1.eng Nottingham,2000,6,5,406,4.5,2,0,2,2,0,0,0,0,0.44,0.0,0.44,0.44,0.44,8e697a8f,25.0,MF,5,406,Switzerland
Ali Nemati,DF,ir IR Iran,30,1.ir Foolad,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,19a221f7,30.0,DF,3,270,IR Iran
Abduvohid Nematov,GK,uz Uzbekistan,25,1.uz FC Nasaf,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25e45f2a,25.0,GK,2,180,Uzbekistan
Pedro Neto,MF,pt Portugal,26,1.eng Chelsea,2000,5,5,350,3.9,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,7ba2eaa9,26.0,MF,5,350,Portugal
Manuel Neuer,GK,de Germany,40,1.de Bayern Munich,1986,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8778c910,40.0,GK,4,390,Germany
João Neves,MF,pt Portugal,21,1.fr PSG,2004,5,4,390,4.3,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,c2a15a27,21.0,MF,4,390,Portugal
Rúben Neves,MF,pt Portugal,29,1.sa Al-Hilal,1997,2,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44bfb6c5,29.0,MF,1,55,Portugal
Nathan Ngoy,DF,be Belgium,23,1.fr Lille,2003,4,4,335,3.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,eb7abf2e,23.0,DF,4,335,Belgium
Moussa Niakhaté,DF,sn Senegal,30,1.fr Lyon,1996,4,4,390,4.3,0,1,1,0,0,0,0,0,0.0,0.23,0.23,0.0,0.23,00242715,30.0,DF,4,390,Senegal
Felix Nmecha,MF,de Germany,25,1.de Dortmund,2000,4,4,270,3.0,1,1,2,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,091c86e2,25.0,MF,4,270,Germany
Kristoffer Nordfeldt,GK,se Sweden,36,1.se AIK Stockholm,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78549904,36.0,GK,2,180,Sweden
Ernest Nuamah,MF,gh Ghana,22,1.fr Lyon,2003,3,1,89,1.0,0,1,1,0,0,0,0,0,0.0,1.01,1.01,0.0,1.01,234a703c,22.0,MF,1,89,Ghana
Darwin Núñez,FW,uy Uruguay,26,1.sa Al-Hilal,1999,3,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4d77b365,26.0,FW,2,156,Uruguay
Antonio Nusa,FW,no Norway,21,1.de RB Leipzig,2005,6,4,318,3.5,1,0,1,1,0,0,1,0,0.28,0.0,0.28,0.28,0.28,4ab12002,21.0,FW,4,318,Norway
Benjamin Nygren,MF,se Sweden,24,1.sct Celtic,2001,4,2,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d6ebf67f,24.0,MF,2,130,Sweden
Ørjan Nyland,GK,no Norway,35,1.es Sevilla,1990,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bdedffac,35.0,GK,5,480,Norway
Aiden O'Neill,MF,au Australia,27,1.us NYCFC,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c7aee75b,27.0,MF,4,360,Australia
Nico O'Reilly,DF,eng England,21,1.eng Manchester City,2005,7,5,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,91ca4a16,21.0,DF,5,461,England
Armando Obispo,DF,cw Curaçao,27,1.nl PSV,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2ffa6348,27.0,DF,3,270,Curaçao
Ime Okon,DF,za South Africa,22,2.de Hannover 96,2004,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3cb58055,22.0,DF,4,360,South Africa
Paul Okon-Engstler,MF,au Australia,21,1.au Sydney FC,2005,4,2,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,ecd6464a,21.0,MF,2,197,Australia
Michael Olise,MF,fr France,24,1.de Bayern Munich,2001,8,8,646,7.2,0,7,7,0,0,0,1,0,0.0,0.98,0.98,0.0,0.98,c4486bac,24.0,MF,8,646,France
Mathías Olivera,DF,uy Uruguay,28,1.it Napoli,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,41c12f75,28.0,DF,3,270,Uruguay
Dani Olmo,MF,es Spain,28,1.es Barcelona,1998,8,6,491,5.5,0,2,2,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37,ae44e8e2,28.0,MF,6,491,Spain
Tani Oluwaseyi,FW,ca Canada,26,1.es Villarreal,2000,5,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,950ef017,26.0,FW,3,259,Canada
Ali Olwan,MF,jo Jordan,26,1.qa Al-Sailiya SC,2000,3,3,268,3.0,1,0,1,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34,33c1d68d,26.0,MF,3,268,Jordan
Amadou Onana,MF,be Belgium,24,1.eng Aston Villa,2001,4,2,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,828657ff,24.0,MF,2,106,Belgium
